"sample","number","size.class","scientific","status","zone","site","location","longitude","latitude","depth","successful_count","successful_length","time_stamp"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26205/?format=feather",0,">Lm","Glaucosoma hebraicum","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.0828,-33.3833,42.5,TRUE,TRUE,"2014-12-09T23:10:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26205/?format=feather",0,">Lm","Sillaginodes punctatus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.0828,-33.3833,42.5,TRUE,TRUE,"2014-12-09T23:10:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26205/?format=feather",0,">Lm","Seriola hippos","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.0828,-33.3833,42.5,TRUE,TRUE,"2014-12-09T23:10:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26205/?format=feather",0,">Lm","Chrysophrys auratus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.0828,-33.3833,42.5,TRUE,TRUE,"2014-12-09T23:10:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26205/?format=feather",0,">Lm","Nemadactylus valenciennesi","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.0828,-33.3833,42.5,TRUE,TRUE,"2014-12-09T23:10:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26205/?format=feather",0,">Lm","Achoerodus gouldii","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.0828,-33.3833,42.5,TRUE,TRUE,"2014-12-09T23:10:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26205/?format=feather",0,">Lm","Choerodon rubescens","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.0828,-33.3833,42.5,TRUE,TRUE,"2014-12-09T23:10:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26206/?format=feather",0,">Lm","Epinephelides armatus","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.3236,-33.55,20.5,TRUE,TRUE,"2014-12-12T03:02:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26206/?format=feather",0,">Lm","Glaucosoma hebraicum","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.3236,-33.55,20.5,TRUE,TRUE,"2014-12-12T03:02:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26206/?format=feather",0,">Lm","Sillaginodes punctatus","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.3236,-33.55,20.5,TRUE,TRUE,"2014-12-12T03:02:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26206/?format=feather",0,">Lm","Seriola hippos","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.3236,-33.55,20.5,TRUE,TRUE,"2014-12-12T03:02:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26206/?format=feather",0,">Lm","Chrysophrys auratus","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.3236,-33.55,20.5,TRUE,TRUE,"2014-12-12T03:02:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26206/?format=feather",0,">Lm","Nemadactylus valenciennesi","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.3236,-33.55,20.5,TRUE,TRUE,"2014-12-12T03:02:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26206/?format=feather",0,">Lm","Achoerodus gouldii","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.3236,-33.55,20.5,TRUE,TRUE,"2014-12-12T03:02:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26206/?format=feather",0,">Lm","Choerodon rubescens","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.3236,-33.55,20.5,TRUE,TRUE,"2014-12-12T03:02:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26207/?format=feather",0,">Lm","Epinephelides armatus","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1884,-33.5464,28.2,TRUE,TRUE,"2014-12-08T23:00:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26207/?format=feather",0,">Lm","Glaucosoma hebraicum","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1884,-33.5464,28.2,TRUE,TRUE,"2014-12-08T23:00:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26207/?format=feather",0,">Lm","Sillaginodes punctatus","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1884,-33.5464,28.2,TRUE,TRUE,"2014-12-08T23:00:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26207/?format=feather",0,">Lm","Seriola hippos","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1884,-33.5464,28.2,TRUE,TRUE,"2014-12-08T23:00:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26207/?format=feather",0,">Lm","Chrysophrys auratus","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1884,-33.5464,28.2,TRUE,TRUE,"2014-12-08T23:00:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26207/?format=feather",0,">Lm","Nemadactylus valenciennesi","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1884,-33.5464,28.2,TRUE,TRUE,"2014-12-08T23:00:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26207/?format=feather",0,">Lm","Achoerodus gouldii","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1884,-33.5464,28.2,TRUE,TRUE,"2014-12-08T23:00:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26207/?format=feather",0,">Lm","Choerodon rubescens","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1884,-33.5464,28.2,TRUE,TRUE,"2014-12-08T23:00:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26208/?format=feather",0,">Lm","Epinephelides armatus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2873,-33.4272,34,TRUE,TRUE,"2014-12-10T23:07:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26208/?format=feather",0,">Lm","Glaucosoma hebraicum","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2873,-33.4272,34,TRUE,TRUE,"2014-12-10T23:07:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26208/?format=feather",0,">Lm","Sillaginodes punctatus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2873,-33.4272,34,TRUE,TRUE,"2014-12-10T23:07:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26208/?format=feather",0,">Lm","Seriola hippos","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2873,-33.4272,34,TRUE,TRUE,"2014-12-10T23:07:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26208/?format=feather",0,">Lm","Chrysophrys auratus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2873,-33.4272,34,TRUE,TRUE,"2014-12-10T23:07:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26208/?format=feather",0,">Lm","Nemadactylus valenciennesi","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2873,-33.4272,34,TRUE,TRUE,"2014-12-10T23:07:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26208/?format=feather",0,">Lm","Achoerodus gouldii","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2873,-33.4272,34,TRUE,TRUE,"2014-12-10T23:07:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26208/?format=feather",0,">Lm","Choerodon rubescens","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2873,-33.4272,34,TRUE,TRUE,"2014-12-10T23:07:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26209/?format=feather",0,">Lm","Epinephelides armatus","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1764,-33.487,34.3,TRUE,TRUE,"2014-12-09T02:30:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26209/?format=feather",0,">Lm","Glaucosoma hebraicum","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1764,-33.487,34.3,TRUE,TRUE,"2014-12-09T02:30:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26209/?format=feather",0,">Lm","Sillaginodes punctatus","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1764,-33.487,34.3,TRUE,TRUE,"2014-12-09T02:30:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26209/?format=feather",0,">Lm","Seriola hippos","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1764,-33.487,34.3,TRUE,TRUE,"2014-12-09T02:30:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26209/?format=feather",0,">Lm","Chrysophrys auratus","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1764,-33.487,34.3,TRUE,TRUE,"2014-12-09T02:30:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26209/?format=feather",0,">Lm","Nemadactylus valenciennesi","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1764,-33.487,34.3,TRUE,TRUE,"2014-12-09T02:30:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26209/?format=feather",0,">Lm","Achoerodus gouldii","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1764,-33.487,34.3,TRUE,TRUE,"2014-12-09T02:30:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26209/?format=feather",0,">Lm","Choerodon rubescens","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1764,-33.487,34.3,TRUE,TRUE,"2014-12-09T02:30:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26210/?format=feather",0,">Lm","Epinephelides armatus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3341,-33.4241,31.8,TRUE,TRUE,"2014-12-10T22:37:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26210/?format=feather",0,">Lm","Glaucosoma hebraicum","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3341,-33.4241,31.8,TRUE,TRUE,"2014-12-10T22:37:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26210/?format=feather",0,">Lm","Sillaginodes punctatus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3341,-33.4241,31.8,TRUE,TRUE,"2014-12-10T22:37:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26210/?format=feather",0,">Lm","Seriola hippos","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3341,-33.4241,31.8,TRUE,TRUE,"2014-12-10T22:37:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26210/?format=feather",0,">Lm","Chrysophrys auratus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3341,-33.4241,31.8,TRUE,TRUE,"2014-12-10T22:37:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26210/?format=feather",0,">Lm","Nemadactylus valenciennesi","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3341,-33.4241,31.8,TRUE,TRUE,"2014-12-10T22:37:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26210/?format=feather",0,">Lm","Achoerodus gouldii","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3341,-33.4241,31.8,TRUE,TRUE,"2014-12-10T22:37:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26210/?format=feather",0,">Lm","Choerodon rubescens","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3341,-33.4241,31.8,TRUE,TRUE,"2014-12-10T22:37:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26211/?format=feather",0,">Lm","Epinephelides armatus","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.2369,-33.5986,26.3,TRUE,TRUE,"2014-12-11T21:55:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26211/?format=feather",0,">Lm","Glaucosoma hebraicum","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.2369,-33.5986,26.3,TRUE,TRUE,"2014-12-11T21:55:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26211/?format=feather",0,">Lm","Sillaginodes punctatus","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.2369,-33.5986,26.3,TRUE,TRUE,"2014-12-11T21:55:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26211/?format=feather",0,">Lm","Seriola hippos","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.2369,-33.5986,26.3,TRUE,TRUE,"2014-12-11T21:55:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26211/?format=feather",0,">Lm","Chrysophrys auratus","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.2369,-33.5986,26.3,TRUE,TRUE,"2014-12-11T21:55:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26211/?format=feather",0,">Lm","Nemadactylus valenciennesi","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.2369,-33.5986,26.3,TRUE,TRUE,"2014-12-11T21:55:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26211/?format=feather",0,">Lm","Achoerodus gouldii","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.2369,-33.5986,26.3,TRUE,TRUE,"2014-12-11T21:55:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26211/?format=feather",0,">Lm","Choerodon rubescens","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.2369,-33.5986,26.3,TRUE,TRUE,"2014-12-11T21:55:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26212/?format=feather",0,">Lm","Epinephelides armatus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4621,-33.4808,14.1,TRUE,TRUE,"2014-12-12T23:53:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26212/?format=feather",0,">Lm","Glaucosoma hebraicum","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4621,-33.4808,14.1,TRUE,TRUE,"2014-12-12T23:53:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26212/?format=feather",0,">Lm","Sillaginodes punctatus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4621,-33.4808,14.1,TRUE,TRUE,"2014-12-12T23:53:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26212/?format=feather",0,">Lm","Seriola hippos","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4621,-33.4808,14.1,TRUE,TRUE,"2014-12-12T23:53:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26212/?format=feather",0,">Lm","Chrysophrys auratus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4621,-33.4808,14.1,TRUE,TRUE,"2014-12-12T23:53:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26212/?format=feather",0,">Lm","Nemadactylus valenciennesi","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4621,-33.4808,14.1,TRUE,TRUE,"2014-12-12T23:53:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26212/?format=feather",0,">Lm","Achoerodus gouldii","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4621,-33.4808,14.1,TRUE,TRUE,"2014-12-12T23:53:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26212/?format=feather",0,">Lm","Choerodon rubescens","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4621,-33.4808,14.1,TRUE,TRUE,"2014-12-12T23:53:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26213/?format=feather",0,">Lm","Epinephelides armatus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3205,-33.3528,34.1,TRUE,FALSE,"2014-12-11T00:54:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26213/?format=feather",0,">Lm","Glaucosoma hebraicum","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3205,-33.3528,34.1,TRUE,FALSE,"2014-12-11T00:54:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26213/?format=feather",0,">Lm","Sillaginodes punctatus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3205,-33.3528,34.1,TRUE,FALSE,"2014-12-11T00:54:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26213/?format=feather",0,">Lm","Seriola hippos","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3205,-33.3528,34.1,TRUE,FALSE,"2014-12-11T00:54:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26213/?format=feather",0,">Lm","Chrysophrys auratus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3205,-33.3528,34.1,TRUE,FALSE,"2014-12-11T00:54:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26213/?format=feather",0,">Lm","Nemadactylus valenciennesi","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3205,-33.3528,34.1,TRUE,FALSE,"2014-12-11T00:54:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26213/?format=feather",0,">Lm","Achoerodus gouldii","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3205,-33.3528,34.1,TRUE,FALSE,"2014-12-11T00:54:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26213/?format=feather",0,">Lm","Choerodon rubescens","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3205,-33.3528,34.1,TRUE,FALSE,"2014-12-11T00:54:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26214/?format=feather",0,">Lm","Epinephelides armatus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.0739,-33.3845,43,TRUE,FALSE,"2014-12-09T23:05:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26214/?format=feather",0,">Lm","Glaucosoma hebraicum","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.0739,-33.3845,43,TRUE,FALSE,"2014-12-09T23:05:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26214/?format=feather",0,">Lm","Sillaginodes punctatus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.0739,-33.3845,43,TRUE,FALSE,"2014-12-09T23:05:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26214/?format=feather",0,">Lm","Seriola hippos","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.0739,-33.3845,43,TRUE,FALSE,"2014-12-09T23:05:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26214/?format=feather",0,">Lm","Chrysophrys auratus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.0739,-33.3845,43,TRUE,FALSE,"2014-12-09T23:05:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26214/?format=feather",0,">Lm","Nemadactylus valenciennesi","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.0739,-33.3845,43,TRUE,FALSE,"2014-12-09T23:05:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26214/?format=feather",0,">Lm","Achoerodus gouldii","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.0739,-33.3845,43,TRUE,FALSE,"2014-12-09T23:05:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26214/?format=feather",0,">Lm","Choerodon rubescens","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.0739,-33.3845,43,TRUE,FALSE,"2014-12-09T23:05:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26215/?format=feather",0,">Lm","Epinephelides armatus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4157,-33.4055,27.9,TRUE,TRUE,"2014-12-13T03:14:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26215/?format=feather",0,">Lm","Glaucosoma hebraicum","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4157,-33.4055,27.9,TRUE,TRUE,"2014-12-13T03:14:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26215/?format=feather",0,">Lm","Sillaginodes punctatus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4157,-33.4055,27.9,TRUE,TRUE,"2014-12-13T03:14:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26215/?format=feather",0,">Lm","Seriola hippos","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4157,-33.4055,27.9,TRUE,TRUE,"2014-12-13T03:14:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26215/?format=feather",0,">Lm","Chrysophrys auratus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4157,-33.4055,27.9,TRUE,TRUE,"2014-12-13T03:14:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26215/?format=feather",0,">Lm","Nemadactylus valenciennesi","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4157,-33.4055,27.9,TRUE,TRUE,"2014-12-13T03:14:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26215/?format=feather",0,">Lm","Achoerodus gouldii","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4157,-33.4055,27.9,TRUE,TRUE,"2014-12-13T03:14:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26215/?format=feather",0,">Lm","Choerodon rubescens","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4157,-33.4055,27.9,TRUE,TRUE,"2014-12-13T03:14:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26216/?format=feather",0,">Lm","Epinephelides armatus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2077,-33.4269,38.2,TRUE,TRUE,"2014-12-10T03:17:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26216/?format=feather",0,">Lm","Glaucosoma hebraicum","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2077,-33.4269,38.2,TRUE,TRUE,"2014-12-10T03:17:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26216/?format=feather",0,">Lm","Sillaginodes punctatus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2077,-33.4269,38.2,TRUE,TRUE,"2014-12-10T03:17:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26216/?format=feather",0,">Lm","Seriola hippos","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2077,-33.4269,38.2,TRUE,TRUE,"2014-12-10T03:17:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26216/?format=feather",0,">Lm","Chrysophrys auratus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2077,-33.4269,38.2,TRUE,TRUE,"2014-12-10T03:17:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26216/?format=feather",0,">Lm","Nemadactylus valenciennesi","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2077,-33.4269,38.2,TRUE,TRUE,"2014-12-10T03:17:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26216/?format=feather",0,">Lm","Achoerodus gouldii","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2077,-33.4269,38.2,TRUE,TRUE,"2014-12-10T03:17:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26216/?format=feather",0,">Lm","Choerodon rubescens","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2077,-33.4269,38.2,TRUE,TRUE,"2014-12-10T03:17:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26217/?format=feather",0,">Lm","Epinephelides armatus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3721,-33.3585,30.3,TRUE,TRUE,"2014-12-11T01:11:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26217/?format=feather",0,">Lm","Glaucosoma hebraicum","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3721,-33.3585,30.3,TRUE,TRUE,"2014-12-11T01:11:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26217/?format=feather",0,">Lm","Sillaginodes punctatus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3721,-33.3585,30.3,TRUE,TRUE,"2014-12-11T01:11:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26217/?format=feather",0,">Lm","Seriola hippos","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3721,-33.3585,30.3,TRUE,TRUE,"2014-12-11T01:11:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26217/?format=feather",0,">Lm","Chrysophrys auratus","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3721,-33.3585,30.3,TRUE,TRUE,"2014-12-11T01:11:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26217/?format=feather",0,">Lm","Nemadactylus valenciennesi","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3721,-33.3585,30.3,TRUE,TRUE,"2014-12-11T01:11:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26217/?format=feather",0,">Lm","Achoerodus gouldii","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3721,-33.3585,30.3,TRUE,TRUE,"2014-12-11T01:11:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26217/?format=feather",0,">Lm","Choerodon rubescens","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3721,-33.3585,30.3,TRUE,TRUE,"2014-12-11T01:11:00Z"
