"","sample","latitude","longitude","date.time","site","location","status","depth","observer.count","observer.length","successful.count","successful.length","comment","campaignid"
"1","248",-22.7609,113.5473,"2022-05-19T08:27:25+0800",NA,NA,"No-take",76.6,"Claude Spencer","Molly Gerrans","Yes","Yes",NA,"2022-05_PtCloates_stereo-BOSS"
"2","224",-22.7598,113.5487,"2022-05-19T08:44:41+0800",NA,NA,"No-take",76.1,"Claude Spencer","Molly Gerrans","Yes","Yes",NA,"2022-05_PtCloates_stereo-BOSS"
"3","232",-22.7576,113.5368,"2022-05-19T08:59:18+0800",NA,NA,"No-take",90.9,"Claude Spencer","Molly Gerrans","Yes","Yes",NA,"2022-05_PtCloates_stereo-BOSS"
"4","211",-22.7554,113.54,"2022-05-19T09:11:46+0800",NA,NA,"No-take",87.2,"Claude Spencer","Molly Gerrans","Yes","Yes","Didn't put the chain on the bottom. eDNA","2022-05_PtCloates_stereo-BOSS"
"5","226",-22.7536,113.5408,"2022-05-19T09:30:58+0800",NA,NA,"No-take",86.6,"Claude Spencer","Molly Gerrans","Yes","Yes","Whiteboard showed 203 (was actually 226) - correct on IPAD. Checked red lights GTG.","2022-05_PtCloates_stereo-BOSS"
"6","203",-22.7548,113.55,"2022-05-19T09:44:17+0800",NA,NA,"No-take",75.7,"Claude Spencer","Molly Gerrans","Yes","Yes","eDNA","2022-05_PtCloates_stereo-BOSS"
"7","207",-22.7523,113.5552,"2022-05-19T10:00:48+0800",NA,NA,"No-take",71.4,"Claude Spencer","Molly Gerrans","Yes","Yes",NA,"2022-05_PtCloates_stereo-BOSS"
"8","221",-22.7519,113.5483,"2022-05-19T10:12:53+0800",NA,NA,"No-take",78.4,"Claude Spencer","Molly Gerrans","Yes","Yes","eDNA","2022-05_PtCloates_stereo-BOSS"
"9","264",-22.7655,113.5389,"2022-05-19T10:34:40+0800",NA,NA,"No-take",81.6,"Claude Spencer","Molly Gerrans","Yes","Yes",NA,"2022-05_PtCloates_stereo-BOSS"
"10","262",-22.7635,113.5347,"2022-05-19T10:45:55+0800",NA,NA,"No-take",91,"Claude Spencer","Molly Gerrans","Yes","Yes","eDNA","2022-05_PtCloates_stereo-BOSS"
"11","265",-22.7561,113.529,"2022-05-19T10:58:59+0800",NA,NA,"No-take",99.2,"Claude Spencer","Molly Gerrans","Yes","Yes","Synced white lights after drop.","2022-05_PtCloates_stereo-BOSS"
